"","IP","PC","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final"
"1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",0.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
