"","IP","PC","p.agree","efficacy","conditional"
"1",0,0,1,0,NA
"2",0.1,0,1,1,1
"3",0.2,0,1,1,1
"7",0,0.1,1,0,NA
"8",0.1,0.1,1,0,NA
"9",0.2,0.1,0.6,0.6,0.6
"10",0.3,0.1,0.7,0.7,0.7
"14",0.1,0.2,1,0,NA
"15",0.2,0.2,0.9,0.3,0.75
"16",0.3,0.2,0.6,0.2,0.333333333333333
"17",0.4,0.2,0.7,0.7,0.7
"21",0.2,0.3,1,0,NA
"22",0.3,0.3,1,0,NA
"23",0.4,0.3,0.9,0.8,0.888888888888889
"24",0.5,0.3,0.7,0.7,0.7
"28",0.3,0.4,1,0,NA
"29",0.4,0.4,1,0,NA
"30",0.5,0.4,0.8,0.5,0.714285714285714
"35",0.4,0.5,1,0,NA
"36",0.5,0.5,1,0.1,1
