"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","mix.prob"
"1",0.39,0.39,2,1,4,0
"2",0.4,0.39,2,1,4,0
"3",0.41,0.39,2,1,4,0
"4",0.42,0.39,2,1,4,0
"5",0.43,0.39,2,1,4,0
"6",0.44,0.39,2,1,4,0
"7",0.45,0.39,2,1,4,0
"8",0.46,0.39,2,1,4,0
"9",0.47,0.39,2,1,4,0
"10",0.48,0.39,2,1,4,0
"11",0.49,0.39,2,1,4,0
"12",0.5,0.39,2,1,4,0
"13",0.51,0.39,2,1,4,0
"14",0.39,0.39,2,1,4,0.25
"15",0.4,0.39,2,1,4,0.25
"16",0.41,0.39,2,1,4,0.25
"17",0.42,0.39,2,1,4,0.25
"18",0.43,0.39,2,1,4,0.25
"19",0.44,0.39,2,1,4,0.25
"20",0.45,0.39,2,1,4,0.25
"21",0.46,0.39,2,1,4,0.25
"22",0.47,0.39,2,1,4,0.25
"23",0.48,0.39,2,1,4,0.25
"24",0.49,0.39,2,1,4,0.25
"25",0.5,0.39,2,1,4,0.25
"26",0.51,0.39,2,1,4,0.25
"27",0.39,0.39,2,1,4,0.5
"28",0.4,0.39,2,1,4,0.5
"29",0.41,0.39,2,1,4,0.5
"30",0.42,0.39,2,1,4,0.5
"31",0.43,0.39,2,1,4,0.5
"32",0.44,0.39,2,1,4,0.5
"33",0.45,0.39,2,1,4,0.5
"34",0.46,0.39,2,1,4,0.5
"35",0.47,0.39,2,1,4,0.5
"36",0.48,0.39,2,1,4,0.5
"37",0.49,0.39,2,1,4,0.5
"38",0.5,0.39,2,1,4,0.5
"39",0.51,0.39,2,1,4,0.5
"40",0.39,0.39,2,1,4,0.75
"41",0.4,0.39,2,1,4,0.75
"42",0.41,0.39,2,1,4,0.75
"43",0.42,0.39,2,1,4,0.75
"44",0.43,0.39,2,1,4,0.75
"45",0.44,0.39,2,1,4,0.75
"46",0.45,0.39,2,1,4,0.75
"47",0.46,0.39,2,1,4,0.75
"48",0.47,0.39,2,1,4,0.75
"49",0.48,0.39,2,1,4,0.75
"50",0.49,0.39,2,1,4,0.75
"51",0.5,0.39,2,1,4,0.75
"52",0.51,0.39,2,1,4,0.75
"53",0.39,0.39,2,1,4,1
"54",0.4,0.39,2,1,4,1
"55",0.41,0.39,2,1,4,1
"56",0.42,0.39,2,1,4,1
"57",0.43,0.39,2,1,4,1
"58",0.44,0.39,2,1,4,1
"59",0.45,0.39,2,1,4,1
"60",0.46,0.39,2,1,4,1
"61",0.47,0.39,2,1,4,1
"62",0.48,0.39,2,1,4,1
"63",0.49,0.39,2,1,4,1
"64",0.5,0.39,2,1,4,1
"65",0.51,0.39,2,1,4,1
