"","p.range","prior_indicator_skpt","prior_indicator_enth","freq.mntr","enr.shape","out.mean"
"1",0.4,0,0,2,1,4
"2",0.41,0,0,2,1,4
"3",0.42,0,0,2,1,4
"4",0.43,0,0,2,1,4
"5",0.44,0,0,2,1,4
"6",0.45,0,0,2,1,4
"7",0.46,0,0,2,1,4
"8",0.47,0,0,2,1,4
"9",0.48,0,0,2,1,4
"10",0.49,0,0,2,1,4
"11",0.5,0,0,2,1,4
"12",0.51,0,0,2,1,4
"13",0.52,0,0,2,1,4
"14",0.53,0,0,2,1,4
"15",0.54,0,0,2,1,4
"16",0.55,0,0,2,1,4
"17",0.56,0,0,2,1,4
"18",0.57,0,0,2,1,4
"19",0.58,0,0,2,1,4
"20",0.59,0,0,2,1,4
"21",0.6,0,0,2,1,4
"22",0.61,0,0,2,1,4
"23",0.62,0,0,2,1,4
"24",0.63,0,0,2,1,4
"25",0.64,0,0,2,1,4
"26",0.65,0,0,2,1,4
"27",0.66,0,0,2,1,4
"28",0.67,0,0,2,1,4
