"","X","p.agree","efficacy","conditional","p.range"
"1",1,0.8,0.3,0.6,0.49
"2",1,0.9,0.5,0.833333333333333,0.5
"3",1,0.6,0.3,0.428571428571429,0.51
"4",1,0.8,0.3,0.6,0.52
"5",1,0.9,0.8,0.888888888888889,0.53
"6",1,0.8,0.8,0.8,0.54
"7",1,0.6,0.6,0.6,0.55
"8",1,1,0.9,1,0.56
"9",1,0.9,0.9,0.9,0.57
"10",1,0.8,0.8,0.8,0.58
"11",1,1,0,NA,0.4
"12",1,0.6,0.6,0.6,0.59
"13",1,1,1,1,0.6
"14",1,0.9,0.9,0.9,0.61
"15",1,0.8,0.8,0.8,0.62
"16",1,1,1,1,0.63
"17",1,1,1,1,0.64
"18",1,0.8,0.8,0.8,0.65
"19",1,0.9,0.9,0.9,0.66
"20",1,0.8,0.8,0.8,0.67
"21",1,1,0,NA,0.41
"22",1,1,0,NA,0.42
"23",1,1,0.1,1,0.43
"24",1,1,0.3,1,0.44
"25",1,0.9,0.1,0.5,0.45
"26",1,0.9,0.1,0.5,0.46
"27",1,0.8,0.1,0.333333333333333,0.47
"28",1,0.9,0.4,0.8,0.48
