"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","idx"
"y1.IP.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y0.IP.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y1.PC.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y0.PC.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"eff.prob.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"fut.prob.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"eff.mix.prob.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.skpt.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.enth.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.ni.initial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y1.IP.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y0.IP.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y1.PC.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y0.PC.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"eff.prob.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"fut.prob.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"eff.mix.prob.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.skpt.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.enth.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.ni.final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"pm.skpt.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"pm.enth.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"pm.ni.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"pm.rd.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"pm.50.50.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"pm.skpt.enth.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"pm.skpt.enth.ni.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"pm.skpt.enth.ni.tilde.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.skpt.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.enth.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"box.ni.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y1.IP.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y1.PC.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y0.IP.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"y0.PC.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
