"","X","p.agree","efficacy","conditional","idx"
"1",1,0.98,0.02,0.5,101
"2",1,1,0.08,1,106
"3",1,0.98,0.18,0.9,111
"4",1,0.88,0.44,0.785714285714286,116
"5",1,0.98,0,0,11
"6",1,0.98,0.74,0.973684210526316,121
"7",1,1,0,NA,16
"8",1,1,0,NA,1
"9",1,1,0.04,1,21
"10",1,0.98,0,0,26
"11",1,1,0,NA,2
"12",1,1,0.02,1,31
"13",1,1,0.04,1,36
"14",1,1,0,NA,3
"15",1,0.98,0.08,0.8,41
"16",1,0.94,0.26,0.8125,46
"17",1,1,0,NA,4
"18",1,0.98,0,0,51
"19",1,0.98,0.02,0.5,56
"20",1,1,0,NA,5
"21",1,0.96,0.08,0.666666666666667,61
"22",1,0.9,0.24,0.705882352941177,66
"23",1,1,0,NA,6
"24",1,0.86,0.4,0.740740740740741,71
"25",1,0.98,0.02,0.5,76
"26",1,1,0.08,1,81
"27",1,0.98,0.18,0.9,86
"28",1,0.88,0.44,0.785714285714286,91
"29",1,0.98,0.74,0.973684210526316,96
